Row2,Cost1,Cost2,Id
A1,3000,199195,111
B1,3000,285838,112
B1,40000,11210,113
B1,3000,266383,114
B1,3000,220830,115
F1,3000,257049,116
C1,3000,182555,117
B1,40000,82946,118
B1,40000,108007,119
D1,3000,200479,120
F1,40000,76879,121
F1,3000,188507,122
E1,40000,236501,123
E1,40000,99878,124
A1,40000,70317,125
F1,3000,216760,126
B1,3000,37155,127
C1,40000,119118,128
D1,40000,264797,129
C1,3000,121169,130
C1,40000,73874,131
C1,40000,109736,132
D1,3000,86104,133
D1,40000,252018,134
C1,40000,135117,135
C1,40000,257587,136
F1,40000,175211,137
E1,40000,83515,138
B1,40000,11741,139
B1,3000,136229,140
C1,3000,168352,141
F1,40000,167146,142
B1,40000,102418,143
B1,3000,131252,144
D1,3000,3152,145
C1,40000,279970,146
A1,3000,116701,147
F1,40000,5576,148
A1,40000,84796,149
B1,40000,259178,150
E1,40000,47564,151
B1,3000,168565,152
A1,40000,177718,153
E1,3000,188731,154
F1,3000,165811,155
F1,3000,281334,156
A1,40000,282289,157
D1,3000,186872,158
E1,3000,104379,159
A1,3000,259936,160
A1,3000,208520,161
D1,40000,171493,162
D1,3000,205403,163
C1,40000,22618,164
A1,3000,17833,165
C1,3000,125371,166
A1,40000,170341,167
E1,3000,189240,168
D1,3000,118943,169
A1,40000,54734,170
B1,3000,42126,171
C1,3000,29506,172
C1,3000,115343,173
D1,3000,266513,174
B1,3000,233035,175
D1,40000,179247,176
C1,3000,123799,177
B1,40000,118792,178
F1,40000,70866,179
E1,3000,112674,180
C1,40000,95819,181
E1,40000,210685,182
E1,3000,29247,183
C1,40000,12839,184
D1,3000,229138,185
E1,3000,30421,186
E1,40000,65261,187
C1,3000,137286,188
F1,40000,140178,189
D1,3000,67505,190
D1,3000,89494,191
A1,3000,196139,192
F1,3000,120939,193
C1,40000,30479,194
B1,3000,58077,195
B1,40000,121062,196
C1,40000,236492,197
B1,3000,126174,198
E1,3000,174965,199
D1,3000,241665,200
B1,3000,55138,201
F1,3000,85171,202
B1,40000,106376,203
F1,40000,179462,204
D1,3000,38757,205
F1,40000,277448,206
D1,3000,146129,207
D1,3000,210642,208
E1,40000,127957,209
C1,3000,150216,210
C1,3000,131761,211
A1,40000,227111,212
A1,3000,232410,213
B1,3000,77291,214
F1,3000,152161,215
F1,3000,258971,216
C1,3000,11368,217
C1,3000,15738,218
A1,40000,281778,219
D1,40000,275330,220
B1,40000,11275,221
D1,3000,181458,222
B1,3000,117513,223
B1,40000,3178,224
F1,40000,178242,225
E1,3000,110119,226
E1,40000,179040,227
C1,40000,103458,228
B1,40000,109607,229
E1,40000,173027,230
A1,40000,174930,231
E1,3000,255425,232
E1,40000,4890,233
E1,3000,86161,234
B1,3000,115298,235
B1,3000,54388,236
E1,40000,203122,237
A1,40000,161496,238
D1,40000,18323,239
D1,40000,278792,240
F1,40000,111701,241
A1,3000,286019,242
E1,40000,114199,243
C1,3000,110550,244
A1,3000,229456,245
E1,40000,3091,246
D1,40000,296646,247
E1,3000,291127,248
A1,3000,92491,249
C1,40000,75311,250
E1,40000,273972,251
C1,40000,177222,252
A1,3000,90051,253
B1,3000,91560,254
A1,40000,108818,255
F1,3000,122778,256
C1,40000,12106,257
A1,40000,299970,258
B1,3000,269571,259
F1,40000,200094,260
B1,40000,89651,261
F1,3000,194411,262
B1,3000,84052,263
A1,40000,75961,264
C1,40000,262612,265
E1,3000,19618,266
A1,3000,230112,267
E1,40000,20478,268
E1,40000,200865,269
A1,3000,76960,270
F1,40000,67697,271
D1,40000,201077,272
B1,3000,61426,273
B1,3000,10677,274
C1,3000,184691,275
A1,3000,234930,276
A1,40000,133245,277
F1,40000,213087,278
C1,3000,69736,279
C1,3000,186610,280
A1,3000,159041,281
D1,3000,82873,282
F1,3000,146478,283
D1,3000,58055,284
E1,40000,154136,285
C1,40000,84132,286
D1,40000,286805,287
C1,40000,78192,288
B1,3000,196638,289
B1,40000,73260,290
C1,3000,120296,291
D1,3000,112220,292
B1,40000,261823,293
A1,40000,110113,294
D1,40000,179366,295
F1,40000,299823,296
B1,40000,183349,297
C1,40000,247157,298
B1,3000,12198,299
E1,40000,188868,300
B1,40000,38650,301
E1,40000,261650,302
F1,3000,290425,303
D1,3000,294753,304
A1,3000,183316,305
B1,40000,269532,306
A1,40000,237290,307
D1,40000,41505,308
B1,3000,228202,309
A1,40000,276872,310
E1,3000,163096,311
E1,3000,145757,312
F1,40000,280199,313
E1,40000,122363,314
C1,40000,49338,315
F1,40000,174370,316
F1,40000,259084,317
D1,40000,2161,318
C1,3000,141717,319
E1,3000,236779,320
D1,40000,176175,321
C1,40000,79448,322
B1,3000,262643,323
F1,3000,218716,324
A1,40000,73554,325
C1,3000,5011,326
A1,40000,287021,327
E1,40000,108792,328
F1,3000,136240,329
B1,40000,20680,330
B1,3000,285154,331
A1,40000,145955,332
C1,40000,241049,333
C1,3000,103034,334
E1,3000,141535,335
C1,3000,299041,336
A1,3000,223834,337
F1,40000,253539,338
D1,3000,250234,339
B1,40000,14850,340
C1,3000,248236,341
E1,3000,2289,342
E1,40000,6676,343
C1,40000,13172,344
F1,3000,56063,345
A1,40000,123719,346
B1,3000,263867,347
D1,3000,170288,348
D1,3000,274190,349
C1,3000,236262,350
B1,40000,270919,351
B1,3000,146998,352
C1,40000,144786,353
C1,40000,9703,354
A1,40000,266243,355
A1,40000,269450,356
D1,3000,82210,357
D1,3000,115407,358
B1,40000,262258,359
C1,3000,281046,360
C1,40000,49318,361
F1,40000,13556,362
E1,40000,23603,363
F1,40000,99508,364
A1,3000,218620,365
D1,40000,196307,366
F1,40000,198482,367
E1,40000,177866,368
D1,40000,45257,369
E1,40000,5657,370
C1,40000,173651,371
F1,40000,208563,372
E1,40000,36336,373
B1,3000,282906,374
F1,40000,109921,375
E1,3000,63966,376
F1,3000,237302,377
F1,3000,267595,378
C1,40000,198337,379
D1,40000,144238,380
C1,40000,143841,381
C1,40000,23516,382
F1,3000,111073,383
B1,40000,121996,384
A1,40000,2064,385
B1,40000,152625,386
D1,3000,242564,387
B1,3000,218149,388
F1,40000,93056,389
D1,40000,166428,390
C1,40000,195584,391
E1,40000,113749,392
F1,3000,93216,393
A1,3000,34546,394
D1,3000,133318,395
C1,40000,157623,396
D1,40000,86649,397
A1,3000,292593,398
F1,3000,246255,399
D1,40000,217425,400
F1,3000,93356,401
F1,40000,290802,402
F1,40000,38733,403
A1,40000,22344,404
D1,3000,19825,405
D1,3000,290565,406
B1,3000,219566,407
E1,40000,81028,408
E1,40000,294033,409
B1,40000,214769,410
F1,3000,230128,411
B1,3000,214639,412
D1,3000,233763,413
A1,3000,50412,414
B1,40000,83414,415
D1,3000,2858,416
B1,3000,72689,417
A1,3000,80109,418
F1,3000,254958,419
C1,3000,160088,420
B1,3000,84702,421
B1,40000,98551,422
B1,40000,209902,423
C1,40000,208610,424
E1,3000,52876,425
E1,3000,199072,426
C1,3000,285565,427
D1,40000,150123,428
C1,3000,42785,429
E1,40000,20352,430
F1,3000,260027,431
F1,40000,16602,432
E1,3000,17318,433
F1,3000,16206,434
A1,3000,33570,435
B1,40000,291057,436
C1,40000,66223,437
C1,40000,193036,438
F1,3000,3847,439
C1,3000,273911,440
D1,3000,192197,441
F1,40000,2759,442
C1,3000,35522,443
D1,3000,4416,444
A1,40000,37932,445
A1,40000,76660,446
F1,3000,49131,447
A1,40000,28751,448
F1,3000,182579,449
A1,40000,47435,450
F1,40000,195296,451
A1,40000,93784,452
D1,3000,168083,453
B1,3000,214555,454
D1,40000,147834,455
E1,40000,42975,456
E1,40000,69908,457
F1,3000,34608,458
A1,3000,140702,459
F1,3000,275708,460
A1,3000,248917,461
D1,40000,157407,462
E1,3000,214089,463
D1,3000,26466,464
F1,3000,175688,465
C1,40000,276039,466
B1,3000,265557,467
D1,3000,142207,468
C1,3000,100525,469
C1,3000,112146,470
E1,3000,12632,471
A1,40000,142110,472
F1,3000,92971,473
E1,3000,56670,474
D1,3000,259131,475
F1,40000,213205,476
A1,40000,154476,477
C1,3000,104301,478
B1,3000,65685,479
E1,40000,96021,480
E1,40000,276819,481
F1,3000,156021,482
D1,40000,145975,483
E1,40000,34970,484
E1,3000,213661,485
E1,3000,241337,486
F1,3000,198754,487
A1,40000,56224,488
B1,40000,212872,489
D1,3000,199223,490
A1,3000,204236,491
F1,3000,294274,492
A1,3000,263316,493
E1,3000,119572,494
A1,3000,206414,495
B1,40000,177868,496
C1,40000,63594,497
C1,40000,30070,498
E1,40000,232594,499
A1,40000,93524,500
B1,3000,17843,501
B1,3000,233947,502
E1,40000,193716,503
B1,3000,17241,504
F1,3000,299630,505
C1,40000,140536,506
E1,3000,294267,507
B1,40000,5136,508
F1,40000,63758,509
B1,3000,259805,510
C1,40000,94414,511
A1,40000,258729,512
F1,3000,244140,513
D1,3000,231175,514
A1,40000,233136,515
F1,3000,99068,516
E1,3000,129122,517
A1,3000,254482,518
B1,40000,268991,519
C1,40000,128756,520
C1,3000,194036,521
A1,3000,190216,522
C1,3000,169821,523
D1,40000,48148,524
F1,3000,116184,525
F1,40000,30688,526
A1,3000,1146,527
E1,3000,124568,528
A1,40000,297339,529
D1,40000,182180,530
F1,40000,232760,531
C1,3000,93587,532
B1,3000,34351,533
F1,3000,3873,534
E1,40000,73222,535
F1,40000,72347,536
E1,3000,52210,537
D1,40000,78563,538
D1,3000,95543,539
C1,3000,152096,540
E1,40000,5379,541
C1,40000,256927,542
C1,40000,49250,543
F1,40000,20510,544
F1,40000,29575,545
C1,40000,287582,546
D1,3000,169708,547
C1,3000,255675,548
E1,3000,170276,549
C1,3000,166649,550
C1,40000,139103,551
F1,40000,5561,552
F1,3000,187921,553
C1,40000,206231,554
C1,3000,175935,555
A1,3000,233346,556
E1,3000,189634,557
D1,40000,10030,558
A1,40000,94134,559
B1,3000,223200,560
C1,3000,292848,561
A1,3000,294961,562
B1,3000,135967,563
A1,3000,53955,564
C1,40000,36516,565
E1,3000,226209,566
B1,40000,109891,567
C1,3000,34640,568
A1,40000,14971,569
C1,3000,62412,570
B1,3000,239667,571
B1,3000,109812,572
A1,3000,282317,573
A1,40000,137326,574
A1,40000,10769,575
F1,40000,187567,576
D1,3000,160780,577
C1,3000,181586,578
A1,3000,243572,579
C1,3000,254749,580
D1,40000,202334,581
F1,3000,207256,582
F1,3000,217388,583
D1,40000,15236,584
D1,40000,68825,585
A1,3000,135705,586
E1,40000,47016,587
F1,40000,126274,588
B1,3000,201873,589
F1,40000,111523,590
C1,3000,86318,591
D1,3000,36838,592
B1,3000,209839,593
D1,3000,86512,594
F1,3000,145303,595
D1,3000,284539,596
D1,40000,85491,597
F1,40000,158538,598
A1,3000,124406,599
E1,40000,14069,600
B1,3000,206002,601
F1,40000,145824,602
B1,40000,129717,603
B1,3000,60000,604
E1,3000,160737,605
C1,3000,91613,606
B1,3000,50892,607
B1,40000,238134,608
D1,40000,71704,609
E1,3000,291636,610
C1,3000,266741,611
F1,40000,72111,612
A1,3000,155431,613
D1,40000,185820,614
C1,3000,176372,615
E1,3000,296031,616
A1,40000,192545,617
E1,40000,175566,618
C1,40000,6014,619
B1,3000,268783,620
E1,40000,273475,621
B1,40000,279948,622
A1,40000,135351,623
C1,40000,38103,624
B1,3000,266618,625
F1,40000,266951,626
B1,40000,193205,627
E1,3000,252212,628
E1,40000,23684,629
B1,3000,279967,630
A1,3000,264802,631
A1,3000,21843,632
C1,3000,104807,633
C1,40000,102923,634
E1,3000,120654,635
B1,40000,105213,636
C1,3000,199490,637
A1,40000,270054,638
F1,40000,141057,639
F1,40000,257152,640
E1,3000,277902,641
F1,3000,72465,642
C1,40000,250849,643
F1,40000,72814,644
E1,40000,265151,645
E1,40000,128130,646
F1,40000,201449,647
B1,40000,297813,648
D1,40000,23507,649
B1,3000,136021,650
F1,40000,152979,651
C1,40000,196204,652
F1,40000,31935,653
E1,3000,210802,654
E1,40000,135325,655
A1,3000,265652,656
C1,40000,71492,657
A1,3000,77130,658
F1,3000,182611,659
F1,40000,43542,660
C1,3000,283699,661
F1,3000,49892,662
D1,3000,200501,663
F1,40000,230466,664
D1,40000,7026,665
B1,3000,213689,666
F1,40000,205762,667
D1,40000,247369,668
D1,40000,1997,669
D1,3000,222480,670
C1,40000,249209,671
E1,40000,10578,672
E1,3000,68286,673
B1,40000,89687,674
D1,40000,233764,675
B1,3000,14024,676
A1,40000,173515,677
E1,3000,103918,678
B1,3000,187063,679
A1,40000,274077,680
A1,40000,217395,681
C1,3000,67530,682
D1,3000,57174,683
E1,40000,88175,684
C1,40000,43381,685
E1,40000,266171,686
A1,3000,170231,687
B1,40000,226351,688
A1,40000,93952,689
B1,40000,280802,690
A1,40000,175958,691
B1,3000,192810,692
C1,3000,151542,693
B1,3000,72958,694
B1,40000,282227,695
F1,3000,216985,696
F1,40000,46974,697
A1,40000,25166,698
E1,40000,68278,699
A1,3000,263922,700
F1,3000,200373,701
A1,3000,115608,702
F1,3000,168650,703
D1,40000,22305,704
E1,40000,81842,705
A1,3000,109186,706
F1,40000,192353,707
F1,3000,221645,708
A1,3000,156979,709
C1,3000,172415,710
E1,3000,245227,711
F1,3000,25949,712
A1,40000,92896,713
E1,40000,245830,714
F1,40000,58442,715
C1,40000,111546,716
E1,3000,139264,717
E1,3000,280617,718
B1,3000,173371,719
B1,3000,177625,720
A1,3000,111008,721
A1,3000,30963,722
B1,3000,28855,723
B1,40000,192222,724
A1,40000,15312,725
B1,3000,1111,726
A1,3000,292722,727
E1,40000,150307,728
C1,3000,45370,729
F1,40000,251858,730
C1,3000,135819,731
A1,40000,151688,732
A1,40000,235382,733
A1,40000,214206,734
F1,3000,22979,735
F1,3000,267366,736
C1,40000,259358,737
A1,3000,25739,738
B1,40000,43955,739
C1,40000,229340,740
F1,40000,299344,741
D1,40000,116840,742
D1,40000,146764,743
B1,40000,90434,744
B1,40000,250147,745
B1,3000,7326,746
D1,40000,241340,747
F1,40000,176946,748
F1,3000,179472,749
D1,3000,289757,750
F1,3000,212691,751
F1,3000,100762,752
F1,3000,50304,753
C1,40000,299768,754
F1,40000,206223,755
C1,40000,159534,756
E1,3000,235260,757
B1,3000,288633,758
B1,40000,229623,759
D1,3000,274062,760
D1,40000,225834,761
D1,40000,35596,762
F1,40000,133776,763
D1,40000,50386,764
D1,40000,235445,765
D1,40000,100574,766
A1,40000,27852,767
B1,3000,53529,768
E1,3000,126980,769
D1,40000,238389,770
D1,3000,186308,771
B1,40000,296133,772
C1,40000,118982,773
B1,40000,40210,774
D1,3000,36031,775
F1,40000,74401,776
D1,3000,198632,777
C1,40000,71226,778
B1,3000,14830,779
C1,40000,29541,780
F1,40000,289365,781
D1,3000,263405,782
C1,40000,75711,783
A1,40000,137819,784
A1,40000,215806,785
B1,40000,57900,786
F1,40000,170296,787
C1,3000,274097,788
D1,40000,26023,789
B1,3000,5486,790
E1,40000,54132,791
C1,40000,196744,792
E1,40000,209417,793
F1,40000,63365,794
C1,40000,286466,795
D1,40000,16795,796
E1,3000,54343,797
A1,3000,143921,798
B1,3000,123485,799
D1,3000,217496,800
F1,3000,189766,801
C1,3000,57254,802
A1,40000,6445,803
B1,40000,53663,804
A1,3000,16320,805
B1,3000,205355,806
E1,3000,25428,807
D1,3000,223387,808
B1,40000,201752,809
B1,3000,20972,810
B1,40000,114432,811
B1,3000,253061,812
C1,3000,263265,813
E1,40000,229608,814
F1,40000,173525,815
E1,3000,116443,816
D1,3000,155099,817
A1,3000,185162,818
A1,40000,229798,819
B1,3000,225747,820
B1,3000,81811,821
F1,40000,86060,822
F1,40000,104094,823
E1,40000,214567,824
D1,3000,142799,825
C1,3000,33873,826
E1,40000,103144,827
B1,40000,273431,828
C1,3000,256730,829
A1,3000,292454,830
D1,3000,73736,831
D1,3000,271623,832
B1,3000,51177,833
C1,40000,241843,834
D1,3000,151125,835
A1,3000,94904,836
A1,40000,240262,837
E1,3000,27698,838
F1,3000,16206,839
E1,40000,233566,840
B1,3000,197115,841
E1,3000,265970,842
D1,40000,18696,843
A1,40000,67962,844
A1,3000,271625,845
E1,3000,269437,846
D1,40000,291329,847
E1,40000,3169,848
C1,3000,288375,849
C1,3000,267527,850
B1,40000,226598,851
A1,40000,31315,852
F1,40000,217653,853
B1,40000,13523,854
E1,3000,66603,855
B1,3000,37274,856
D1,3000,2747,857
E1,40000,233363,858
B1,40000,28863,859
F1,40000,104472,860
C1,3000,134609,861
C1,3000,261060,862
E1,3000,92686,863
F1,3000,143161,864
F1,3000,209535,865
E1,3000,14776,866
D1,40000,204270,867
B1,3000,5230,868
E1,40000,99083,869
F1,40000,43811,870
A1,3000,218213,871
B1,3000,252176,872
C1,3000,271151,873
D1,40000,88847,874
D1,40000,296025,875
D1,3000,132857,876
E1,40000,284309,877
A1,40000,268302,878
F1,40000,180210,879
F1,3000,87213,880
C1,40000,178352,881
D1,3000,250254,882
F1,3000,50232,883
C1,40000,213621,884
B1,3000,2127,885
D1,40000,32032,886
D1,3000,254514,887
C1,40000,27183,888
E1,40000,8949,889
F1,40000,13727,890
C1,3000,145406,891
F1,40000,260641,892
C1,3000,187636,893
C1,40000,180052,894
E1,3000,74568,895
E1,40000,270293,896
E1,40000,218048,897
A1,3000,53858,898
E1,40000,52245,899
A1,40000,214998,900
D1,40000,44193,901
D1,40000,298036,902
B1,40000,102778,903
A1,40000,296590,904
A1,3000,26166,905
D1,40000,287807,906
C1,40000,61094,907
F1,3000,176956,908
E1,40000,70480,909
B1,3000,37377,910
C1,40000,277363,911
B1,40000,3678,912
E1,3000,31025,913
B1,3000,162089,914
F1,40000,252661,915
F1,3000,217075,916
D1,3000,7095,917
E1,3000,232374,918
C1,40000,134519,919
B1,40000,247366,920
E1,3000,236628,921
B1,3000,28413,922
E1,40000,2104,923
B1,3000,143892,924
B1,3000,193939,925
B1,40000,292899,926
C1,3000,157988,927
D1,3000,168977,928
A1,40000,56688,929
E1,40000,248147,930
A1,3000,241101,931
A1,3000,18119,932
E1,40000,99826,933
F1,40000,4835,934
F1,3000,161095,935
A1,3000,128589,936
E1,3000,22937,937
F1,3000,167241,938
C1,40000,13546,939
D1,40000,84798,940
D1,40000,231327,941
C1,3000,247578,942
F1,3000,30368,943
F1,40000,226172,944
E1,3000,143469,945
B1,40000,112167,946
B1,40000,159945,947
D1,3000,231337,948
D1,40000,264367,949
A1,40000,136049,950
E1,40000,169119,951
B1,3000,275693,952
B1,40000,260943,953
C1,40000,53935,954
C1,3000,112446,955
B1,3000,41968,956
A1,3000,294013,957
C1,40000,237627,958
E1,40000,46368,959
C1,40000,268951,960
D1,3000,263610,961
B1,3000,299230,962
F1,3000,22119,963
A1,3000,135023,964
D1,3000,51861,965
F1,3000,135879,966
F1,3000,25237,967
C1,3000,110773,968
E1,40000,269001,969
E1,3000,128029,970
F1,40000,53923,971
E1,3000,249495,972
E1,40000,56269,973
A1,3000,75925,974
F1,3000,261030,975
A1,40000,202434,976
E1,40000,62837,977
C1,3000,262047,978
B1,40000,152477,979
B1,40000,53575,980
F1,3000,55835,981
E1,3000,186853,982
E1,40000,212050,983
B1,40000,156661,984
E1,3000,115176,985
F1,3000,240683,986
E1,3000,86076,987
B1,40000,101479,988
C1,3000,132815,989
B1,40000,104961,990
D1,40000,169416,991
A1,40000,65943,992
B1,3000,280642,993
C1,40000,103848,994
A1,3000,217382,995
A1,3000,204796,996
F1,40000,173015,997
D1,40000,193314,998
A1,40000,278110,999
B1,40000,125891,1000
F1,40000,256561,1001
C1,3000,35175,1002
E1,3000,141936,1003
E1,3000,232462,1004
C1,40000,152128,1005
C1,3000,211422,1006
F1,3000,181886,1007
A1,3000,223879,1008
B1,3000,19331,1009
D1,40000,98011,1010
A1,3000,236456,1011
B1,3000,66789,1012
E1,3000,285546,1013
E1,3000,115933,1014
B1,40000,80340,1015
B1,40000,154091,1016
E1,3000,208912,1017
B1,40000,34556,1018
C1,40000,168724,1019
D1,40000,174573,1020
C1,3000,138046,1021
A1,40000,84891,1022
A1,40000,118893,1023
E1,3000,179925,1024
F1,3000,171836,1025
E1,40000,82283,1026
F1,40000,233703,1027
E1,3000,22315,1028
F1,40000,21239,1029
A1,3000,84595,1030
D1,3000,294363,1031
A1,3000,146502,1032
F1,3000,12710,1033
D1,3000,175403,1034
D1,40000,217961,1035
F1,40000,217329,1036
C1,3000,171316,1037
B1,3000,126184,1038
B1,3000,142353,1039
F1,40000,38627,1040
A1,40000,115251,1041
B1,3000,64230,1042
F1,40000,142599,1043
F1,40000,172508,1044
E1,3000,236148,1045
A1,3000,116642,1046
A1,3000,189741,1047
A1,3000,129940,1048
E1,3000,238122,1049
D1,3000,114931,1050
A1,40000,284761,1051
E1,40000,171247,1052
E1,3000,219973,1053
A1,40000,78165,1054
C1,40000,94577,1055
C1,40000,163383,1056
F1,40000,79816,1057
C1,3000,59577,1058
C1,3000,94476,1059
C1,40000,204727,1060
B1,40000,128002,1061
A1,40000,89669,1062
D1,40000,93238,1063
F1,3000,138602,1064
C1,40000,176883,1065
D1,40000,241170,1066
B1,40000,59808,1067
A1,3000,8768,1068
A1,40000,115703,1069
A1,40000,103369,1070
B1,3000,119959,1071
A1,40000,258556,1072
D1,40000,94275,1073
E1,3000,115909,1074
B1,40000,218632,1075
A1,40000,126265,1076
D1,3000,211365,1077
A1,40000,24428,1078
A1,3000,144663,1079
F1,3000,114281,1080
B1,3000,67165,1081
C1,3000,173453,1082
D1,40000,155805,1083
E1,3000,289291,1084
F1,40000,214409,1085
B1,40000,243982,1086
E1,40000,242405,1087
F1,40000,148333,1088
F1,3000,261704,1089
B1,40000,143848,1090
D1,3000,173919,1091
B1,3000,251681,1092
F1,40000,220514,1093
A1,40000,105453,1094
F1,3000,299786,1095
A1,40000,218664,1096
F1,40000,272432,1097
D1,3000,16755,1098
E1,3000,253265,1099
C1,3000,114825,1100
E1,3000,58731,1101
F1,3000,84801,1102
B1,40000,218156,1103
F1,3000,191785,1104
F1,40000,987,1105
C1,40000,40222,1106
A1,3000,238224,1107
F1,40000,255298,1108
A1,3000,95930,1109
D1,40000,230751,1110
D1,40000,77890,1111
D1,3000,9006,1112
C1,3000,19511,1113
D1,40000,46753,1114
D1,3000,193626,1115
A1,3000,191277,1116
F1,3000,39681,1117
E1,3000,41721,1118
A1,3000,223613,1119
B1,40000,298960,1120
D1,40000,221912,1121
B1,40000,73586,1122
E1,40000,279041,1123
C1,40000,268005,1124
A1,3000,10700,1125
A1,40000,63623,1126
C1,40000,18068,1127
B1,3000,11455,1128
F1,40000,347,1129
C1,3000,191217,1130
F1,3000,265576,1131
A1,3000,212300,1132
E1,40000,111081,1133
A1,40000,135970,1134
F1,40000,169919,1135
D1,3000,13023,1136
A1,3000,108253,1137
B1,3000,238992,1138
C1,3000,211493,1139
B1,3000,140262,1140
B1,40000,210566,1141
E1,3000,175491,1142
B1,3000,241985,1143
F1,3000,83205,1144
F1,40000,83069,1145
A1,40000,53874,1146
C1,3000,269281,1147
E1,3000,223745,1148
E1,40000,237735,1149
C1,40000,281213,1150
C1,40000,253995,1151
D1,3000,186137,1152
B1,40000,39534,1153
E1,40000,145755,1154
A1,40000,58080,1155
F1,40000,207684,1156
E1,3000,287191,1157
E1,3000,83959,1158
C1,40000,33839,1159
E1,3000,106379,1160
B1,40000,208364,1161
F1,40000,229884,1162
D1,3000,204096,1163
F1,3000,32050,1164
B1,40000,216930,1165
B1,40000,86584,1166
A1,3000,19950,1167
A1,3000,74158,1168
A1,40000,293464,1169
C1,3000,32569,1170
B1,40000,214643,1171
A1,3000,88897,1172
E1,40000,33702,1173
F1,3000,181526,1174
E1,3000,261131,1175
D1,40000,261223,1176
E1,3000,271263,1177
A1,3000,43398,1178
F1,3000,66525,1179
C1,40000,227197,1180
A1,40000,189771,1181
F1,3000,88114,1182
C1,40000,89068,1183
C1,40000,284412,1184
C1,40000,267507,1185
E1,3000,226473,1186
F1,40000,295195,1187
B1,40000,120372,1188
B1,3000,113791,1189
E1,40000,269202,1190
C1,40000,132443,1191
C1,40000,109359,1192
F1,3000,132640,1193
F1,40000,241733,1194
C1,40000,279759,1195
D1,3000,167845,1196
E1,3000,127381,1197
C1,3000,75793,1198
D1,40000,235388,1199
C1,3000,10684,1200
C1,40000,214284,1201
D1,3000,29542,1202
B1,3000,25467,1203
D1,3000,218916,1204
A1,3000,261643,1205
E1,40000,25402,1206
B1,40000,155498,1207
F1,3000,216940,1208
C1,40000,37596,1209
D1,40000,251207,1210
F1,3000,103746,1211
C1,40000,87017,1212
D1,40000,126415,1213
A1,40000,154893,1214
B1,40000,66622,1215
D1,3000,53039,1216
E1,40000,150811,1217
B1,40000,46208,1218
F1,40000,63230,1219
E1,40000,239793,1220
B1,3000,50458,1221
C1,3000,47442,1222
B1,3000,272223,1223
C1,3000,121571,1224
E1,3000,163501,1225
E1,3000,205201,1226
B1,3000,35506,1227
A1,3000,80832,1228
D1,3000,210445,1229
C1,40000,178731,1230
F1,40000,203715,1231
A1,40000,210751,1232
C1,3000,132956,1233
A1,3000,181874,1234
D1,3000,291359,1235
B1,3000,238034,1236
B1,40000,34560,1237
C1,40000,106253,1238
B1,3000,285098,1239
C1,40000,241729,1240
D1,40000,87405,1241
E1,40000,185570,1242
D1,3000,73471,1243
E1,40000,91358,1244
A1,40000,58264,1245
D1,3000,255476,1246
B1,3000,179713,1247
