Production Year,Car Mileage,Cost,Id
2000,47661,3000,906
1976,126926,3000,907
1994,279425,40000,908
2006,147695,40000,909
1997,23630,40000,910
2023,14596,3000,911
1980,151935,40000,912
1971,52721,40000,913
1979,50018,40000,914
1981,130040,3000,915
1981,79631,3000,916
2011,93967,40000,917
2007,44366,40000,918
2002,215349,3000,919
2008,268587,40000,920
2010,250318,40000,921
1979,31938,3000,922
2020,225301,40000,923
1970,180267,3000,924
2010,2391,40000,925
2012,16161,40000,926
1973,2424,40000,927
1992,233777,3000,928
2000,204236,3000,929
1998,217030,40000,930
1992,160729,40000,931
2020,264104,40000,932
2006,123596,3000,933
1991,63729,40000,934
2000,136808,40000,935
2001,263732,3000,936
2021,260536,3000,937
2007,165008,3000,938
1985,274820,40000,939
2014,95390,3000,940
1974,172049,3000,941
1974,198886,40000,942
1996,220147,3000,943
2005,214312,3000,944
2023,193168,3000,945
1991,141525,40000,946
1991,169392,3000,947
1992,220587,40000,948
1973,178747,3000,949
1989,293935,3000,950
2021,241515,40000,951
1972,268364,3000,952
2012,48616,3000,953
1985,234961,40000,954
1990,157487,3000,955
1988,158105,40000,956
2000,194769,3000,957
1992,205958,40000,958
1976,109511,3000,959
1989,112755,40000,960
1979,140955,3000,961
2021,17139,40000,962
1975,111474,40000,963
2016,128525,40000,964
1978,220017,40000,965
1971,186067,40000,966
1977,71877,40000,967
1994,205283,40000,968
2012,183985,3000,969
2009,172180,40000,970
2021,105817,40000,971
2022,20590,40000,972
1970,292211,3000,973
2021,79825,3000,974
2003,78141,40000,975
1994,177568,40000,976
2002,207491,3000,977
2002,236881,3000,978
2007,93403,3000,979
1975,214445,40000,980
2022,240036,40000,981
2009,278801,40000,982
1986,89079,40000,983
1970,128658,40000,984
1974,187100,3000,985
2023,281498,40000,986
1978,62035,3000,987
1989,137416,40000,988
2021,239542,3000,989
1990,112757,3000,990
2021,184994,3000,991
2001,248778,3000,992
2011,213483,40000,993
1989,124200,40000,994
1989,266808,3000,995
2020,128645,3000,996
2012,8450,40000,997
2016,89050,3000,998
2004,270244,40000,999
1976,16148,40000,1000
2021,294569,3000,1001
1996,129604,3000,1002
2021,252385,40000,1003
1977,286210,40000,1004
2013,37508,40000,1005
1979,287530,3000,1006
2015,35878,3000,1007
1987,179953,3000,1008
1992,293945,40000,1009
1977,115248,40000,1010
1989,257697,40000,1011
1981,260263,3000,1012
2008,146473,3000,1013
2014,118352,40000,1014
2013,163363,40000,1015
2014,180441,40000,1016
1990,75869,3000,1017
1979,273329,3000,1018
2022,119830,40000,1019
1998,109567,40000,1020
1995,184384,3000,1021
2017,213171,3000,1022
2021,29006,3000,1023
2003,223612,3000,1024
1987,222562,40000,1025
1986,114706,3000,1026
1988,155084,3000,1027
2002,242996,3000,1028
1971,8956,3000,1029
1975,50951,40000,1030
1987,184198,3000,1031
1996,91661,3000,1032
2008,59424,3000,1033
2021,215456,3000,1034
2014,124824,3000,1035
1998,228858,3000,1036
1983,174428,3000,1037
2020,72628,3000,1038
1981,187634,3000,1039
1984,270768,40000,1040
1981,275600,40000,1041
1974,109550,3000,1042
2012,106791,3000,1043
1974,199819,40000,1044
1982,214473,40000,1045
1980,205058,40000,1046
1997,252880,3000,1047
1982,159682,40000,1048
1985,269161,3000,1049
2000,218210,40000,1050
1973,106288,40000,1051
2022,169862,40000,1052
2022,83882,40000,1053
2012,207313,3000,1054
1978,5030,3000,1055
2008,299369,40000,1056
1971,244748,3000,1057
1985,73080,3000,1058
1972,44247,3000,1059
1976,134696,3000,1060
1999,256313,3000,1061
2018,3055,40000,1062
2023,180592,3000,1063
1972,52388,3000,1064
1971,166699,3000,1065
1998,76737,40000,1066
1993,70832,3000,1067
2003,51181,40000,1068
1977,104398,3000,1069
2012,5981,3000,1070
1993,280951,40000,1071
1995,17247,3000,1072
1982,263282,3000,1073
1994,46974,3000,1074
1983,18747,40000,1075
2005,146153,3000,1076
1973,183050,40000,1077
2010,31237,40000,1078
1995,140654,40000,1079
1989,159909,40000,1080
2008,25197,3000,1081
2021,174671,40000,1082
2020,122456,40000,1083
1993,72869,40000,1084
2003,248151,3000,1085
1990,152390,40000,1086
2000,155944,40000,1087
2003,280609,40000,1088
2008,162940,3000,1089
1981,169083,40000,1090
1993,104755,3000,1091
1978,22854,3000,1092
2012,221948,3000,1093
2000,101245,3000,1094
2011,193923,40000,1095
1979,226708,40000,1096
2016,132829,40000,1097
2015,102774,3000,1098
1996,224830,3000,1099
1989,265784,3000,1100
2000,42482,3000,1101
2005,186013,3000,1102
2014,281427,40000,1103
1973,47322,3000,1104
1988,142125,40000,1105
2023,285898,40000,1106
1979,155333,3000,1107
1974,296955,40000,1108
1977,79508,3000,1109
2012,247539,3000,1110
1984,39917,3000,1111
1979,135056,40000,1112
2012,38640,40000,1113
2005,100104,40000,1114
1996,85819,40000,1115
1976,92861,3000,1116
2012,31282,40000,1117
1976,183825,40000,1118
1975,295813,40000,1119
1998,72598,40000,1120
1986,12924,3000,1121
1986,133849,3000,1122
1978,216690,3000,1123
1989,89896,40000,1124
1988,141004,3000,1125
1998,116630,40000,1126
2022,79516,40000,1127
2017,13699,40000,1128
2005,43947,40000,1129
2022,46879,40000,1130
2009,251128,40000,1131
2001,233074,40000,1132
2017,263284,40000,1133
1986,10593,40000,1134
2004,145498,40000,1135
2017,121115,3000,1136
2010,60208,3000,1137
1995,169022,3000,1138
2009,274696,3000,1139
1977,220025,3000,1140
1989,124529,3000,1141
2003,186833,3000,1142
2008,203617,40000,1143
2016,253487,40000,1144
2023,103592,40000,1145
2007,3367,40000,1146
1982,219422,3000,1147
1975,242089,40000,1148
2016,203345,40000,1149
1993,92566,40000,1150
2016,235824,40000,1151
2023,15986,40000,1152
1982,133218,40000,1153
2008,118494,3000,1154
2013,257646,40000,1155
2013,180410,40000,1156
2005,7099,3000,1157
2017,269484,3000,1158
2013,163358,40000,1159
2018,248636,40000,1160
1988,229835,3000,1161
1973,4450,3000,1162
1974,128157,40000,1163
2010,242177,3000,1164
1986,66770,40000,1165
2000,223158,40000,1166
2002,120520,40000,1167
2016,288133,40000,1168
2014,183117,40000,1169
1985,207059,3000,1170
1980,223793,3000,1171
1993,269508,40000,1172
1997,186460,3000,1173
1986,180977,3000,1174
2000,110642,3000,1175
1994,200731,3000,1176
2017,235,40000,1177
1976,84427,40000,1178
2017,258061,40000,1179
2008,133197,40000,1180
2014,28152,3000,1181
2001,206789,3000,1182
1997,209594,3000,1183
1991,16878,3000,1184
2018,180777,40000,1185
2014,225179,3000,1186
1971,1665,3000,1187
2002,100948,3000,1188
1980,40182,40000,1189
1987,147605,3000,1190
1970,47755,3000,1191
1974,256679,40000,1192
1999,105445,40000,1193
1975,185937,3000,1194
2019,207870,40000,1195
1973,86099,3000,1196
1970,126830,40000,1197
1995,49057,3000,1198
2015,217917,3000,1199
2007,127907,3000,1200
2012,255180,3000,1201
1992,295739,3000,1202
1984,61548,3000,1203
2011,43153,3000,1204
2020,28709,40000,1205
1984,221519,40000,1206
1971,1752,40000,1207
1985,76609,40000,1208
2008,212741,40000,1209
1972,162023,3000,1210
2013,29377,3000,1211
1975,75663,40000,1212
2020,194856,3000,1213
2005,63899,40000,1214
2013,237159,40000,1215
1998,48084,40000,1216
1991,285555,40000,1217
1991,58941,3000,1218
2015,119190,3000,1219
1983,21339,40000,1220
2018,287171,3000,1221
1972,5176,40000,1222
1992,262355,40000,1223
1978,227369,40000,1224
1977,294530,40000,1225
2001,220836,40000,1226
2017,112307,40000,1227
2020,149200,40000,1228
2021,175096,40000,1229
2023,154326,40000,1230
1971,133067,40000,1231
2003,144368,3000,1232
1994,11474,3000,1233
2007,243505,3000,1234
2009,14221,40000,1235
1998,217945,3000,1236
1995,91375,3000,1237
1990,100766,40000,1238
2005,15753,40000,1239
2018,100520,3000,1240
2014,266763,40000,1241
1974,285755,3000,1242
2010,258891,3000,1243
2014,69093,3000,1244
1971,27008,3000,1245
1978,142868,3000,1246
2020,279423,40000,1247
