Id,Row1,Row2,Row3,Cost1,Cost2
415,C,B1,A11,40000,83414
416,F,D1,F11,3000,2858
417,E,B1,E11,3000,72689
418,C,A1,C11,3000,80109
419,D,F1,B11,3000,254958
420,A,C1,D11,3000,160088
421,A,B1,D11,3000,84702
422,A,B1,A11,40000,98551
423,D,B1,B11,40000,209902
424,F,C1,C11,40000,208610
425,F,E1,F11,3000,52876
426,A,E1,F11,3000,199072
427,A,C1,F11,3000,285565
428,E,D1,A11,40000,150123
429,E,C1,B11,3000,42785
430,C,E1,D11,40000,20352
431,B,F1,A11,3000,260027
432,E,F1,A11,40000,16602
433,A,E1,F11,3000,17318
434,C,F1,F11,3000,16206
435,E,A1,D11,3000,33570
436,C,B1,E11,40000,291057
437,F,C1,A11,40000,66223
438,D,C1,A11,40000,193036
439,C,F1,B11,3000,3847
440,A,C1,C11,3000,273911
441,F,D1,E11,3000,192197
442,C,F1,A11,40000,2759
443,E,C1,E11,3000,35522
444,B,D1,D11,3000,4416
445,F,A1,B11,40000,37932
446,A,A1,C11,40000,76660
447,D,F1,D11,3000,49131
448,E,A1,F11,40000,28751
449,C,F1,D11,3000,182579
450,C,A1,C11,40000,47435
451,E,F1,A11,40000,195296
452,A,A1,A11,40000,93784
453,E,D1,C11,3000,168083
454,E,B1,A11,3000,214555
455,F,D1,F11,40000,147834
456,C,E1,A11,40000,42975
457,E,E1,E11,40000,69908
458,F,F1,E11,3000,34608
459,E,A1,F11,3000,140702
460,E,F1,D11,3000,275708
461,B,A1,F11,3000,248917
462,E,D1,C11,40000,157407
463,D,E1,B11,3000,214089
464,C,D1,C11,3000,26466
465,E,F1,B11,3000,175688
466,E,C1,F11,40000,276039
467,D,B1,B11,3000,265557
468,D,D1,C11,3000,142207
469,B,C1,C11,3000,100525
470,B,C1,B11,3000,112146
471,C,E1,E11,3000,12632
472,E,A1,F11,40000,142110
473,B,F1,D11,3000,92971
474,E,E1,C11,3000,56670
475,F,D1,D11,3000,259131
476,B,F1,E11,40000,213205
477,E,A1,C11,40000,154476
478,D,C1,E11,3000,104301
479,A,B1,B11,3000,65685
480,D,E1,B11,40000,96021
481,A,E1,C11,40000,276819
482,C,F1,F11,3000,156021
483,A,D1,D11,40000,145975
484,C,E1,C11,40000,34970
485,F,E1,B11,3000,213661
486,E,E1,C11,3000,241337
487,C,F1,F11,3000,198754
488,B,A1,D11,40000,56224
489,D,B1,E11,40000,212872
490,C,D1,E11,3000,199223
491,C,A1,E11,3000,204236
492,F,F1,D11,3000,294274
493,B,A1,C11,3000,263316
494,A,E1,C11,3000,119572
495,F,A1,C11,3000,206414
496,C,B1,F11,40000,177868
497,A,C1,F11,40000,63594
498,C,C1,A11,40000,30070
499,C,E1,E11,40000,232594
500,C,A1,B11,40000,93524
501,E,B1,F11,3000,17843
502,D,B1,B11,3000,233947
503,A,E1,D11,40000,193716
504,E,B1,B11,3000,17241
505,B,F1,C11,3000,299630
506,F,C1,F11,40000,140536
507,C,E1,D11,3000,294267
508,E,B1,D11,40000,5136
509,B,F1,B11,40000,63758
510,C,B1,F11,3000,259805
511,D,C1,B11,40000,94414
512,F,A1,C11,40000,258729
513,C,F1,D11,3000,244140
514,A,D1,A11,3000,231175
515,F,A1,F11,40000,233136
516,D,F1,C11,3000,99068
517,E,E1,D11,3000,129122
518,E,A1,D11,3000,254482
519,F,B1,A11,40000,268991
520,D,C1,B11,40000,128756
521,E,C1,A11,3000,194036
522,F,A1,F11,3000,190216
523,C,C1,E11,3000,169821
524,B,D1,C11,40000,48148
525,B,F1,E11,3000,116184
526,E,F1,E11,40000,30688
527,C,A1,C11,3000,1146
528,B,E1,E11,3000,124568
529,A,A1,C11,40000,297339
530,F,D1,C11,40000,182180
531,A,F1,C11,40000,232760
532,B,C1,E11,3000,93587
533,B,B1,A11,3000,34351
534,F,F1,C11,3000,3873
535,D,E1,F11,40000,73222
536,E,F1,C11,40000,72347
537,B,E1,B11,3000,52210
538,B,D1,A11,40000,78563
539,B,D1,D11,3000,95543
540,E,C1,C11,3000,152096
541,F,E1,C11,40000,5379
542,D,C1,C11,40000,256927
543,E,C1,C11,40000,49250
544,A,F1,D11,40000,20510
545,E,F1,B11,40000,29575
546,F,C1,E11,40000,287582
547,A,D1,A11,3000,169708
548,A,C1,A11,3000,255675
549,E,E1,D11,3000,170276
550,D,C1,B11,3000,166649
551,E,C1,E11,40000,139103
552,A,F1,B11,40000,5561
553,A,F1,B11,3000,187921
554,B,C1,B11,40000,206231
555,E,C1,F11,3000,175935
556,D,A1,C11,3000,233346
557,F,E1,F11,3000,189634
558,C,D1,E11,40000,10030
559,D,A1,E11,40000,94134
560,A,B1,A11,3000,223200
561,B,C1,A11,3000,292848
562,B,A1,B11,3000,294961
563,E,B1,E11,3000,135967
564,F,A1,D11,3000,53955
565,A,C1,E11,40000,36516
566,E,E1,D11,3000,226209
567,A,B1,E11,40000,109891
568,E,C1,B11,3000,34640
569,E,A1,A11,40000,14971
570,C,C1,F11,3000,62412
571,A,B1,C11,3000,239667
572,A,B1,A11,3000,109812
573,A,A1,B11,3000,282317
574,A,A1,A11,40000,137326
575,E,A1,E11,40000,10769
576,E,F1,B11,40000,187567
577,E,D1,E11,3000,160780
578,B,C1,A11,3000,181586
579,D,A1,A11,3000,243572
580,B,C1,C11,3000,254749
581,D,D1,D11,40000,202334
582,D,F1,E11,3000,207256
583,F,F1,B11,3000,217388
584,A,D1,F11,40000,15236
585,D,D1,E11,40000,68825
586,F,A1,F11,3000,135705
587,B,E1,A11,40000,47016
588,F,F1,F11,40000,126274
589,B,B1,B11,3000,201873
590,B,F1,A11,40000,111523
591,E,C1,D11,3000,86318
592,F,D1,C11,3000,36838
593,D,B1,A11,3000,209839
594,C,D1,C11,3000,86512
595,D,F1,C11,3000,145303
596,B,D1,F11,3000,284539
597,A,D1,C11,40000,85491
598,C,F1,C11,40000,158538
599,C,A1,A11,3000,124406
600,E,E1,C11,40000,14069
601,C,B1,D11,3000,206002
602,C,F1,F11,40000,145824
603,D,B1,D11,40000,129717
604,B,B1,C11,3000,60000
605,C,E1,F11,3000,160737
606,A,C1,C11,3000,91613
607,B,B1,E11,3000,50892
608,B,B1,B11,40000,238134
609,A,D1,E11,40000,71704
610,C,E1,D11,3000,291636
611,D,C1,F11,3000,266741
612,E,F1,D11,40000,72111
613,F,A1,B11,3000,155431
614,A,D1,A11,40000,185820
615,C,C1,C11,3000,176372
616,D,E1,B11,3000,296031
617,E,A1,B11,40000,192545
618,F,E1,B11,40000,175566
619,C,C1,D11,40000,6014
620,D,B1,B11,3000,268783
621,A,E1,F11,40000,273475
622,C,B1,B11,40000,279948
623,B,A1,C11,40000,135351
624,B,C1,D11,40000,38103
625,C,B1,B11,3000,266618
626,D,F1,B11,40000,266951
627,D,B1,D11,40000,193205
628,C,E1,D11,3000,252212
629,B,E1,B11,40000,23684
630,D,B1,A11,3000,279967
631,F,A1,A11,3000,264802
632,A,A1,A11,3000,21843
633,A,C1,A11,3000,104807
634,C,C1,A11,40000,102923
635,D,E1,E11,3000,120654
636,B,B1,C11,40000,105213
637,A,C1,D11,3000,199490
638,D,A1,C11,40000,270054
639,C,F1,B11,40000,141057
640,E,F1,B11,40000,257152
641,F,E1,A11,3000,277902
642,C,F1,F11,3000,72465
643,B,C1,A11,40000,250849
644,A,F1,D11,40000,72814
645,D,E1,A11,40000,265151
646,F,E1,A11,40000,128130
647,C,F1,F11,40000,201449
648,C,B1,D11,40000,297813
649,E,D1,C11,40000,23507
650,D,B1,F11,3000,136021
651,D,F1,B11,40000,152979
652,A,C1,E11,40000,196204
653,D,F1,C11,40000,31935
654,D,E1,F11,3000,210802
655,A,E1,F11,40000,135325
656,A,A1,E11,3000,265652
657,E,C1,C11,40000,71492
658,B,A1,E11,3000,77130
659,B,F1,F11,3000,182611
660,A,F1,B11,40000,43542
661,E,C1,F11,3000,283699
662,D,F1,E11,3000,49892
663,C,D1,B11,3000,200501
664,E,F1,E11,40000,230466
665,F,D1,E11,40000,7026
666,E,B1,A11,3000,213689
667,D,F1,E11,40000,205762
668,B,D1,D11,40000,247369
669,F,D1,E11,40000,1997
670,F,D1,B11,3000,222480
671,F,C1,F11,40000,249209
672,D,E1,B11,40000,10578
673,C,E1,A11,3000,68286
674,C,B1,E11,40000,89687
675,F,D1,B11,40000,233764
676,A,B1,C11,3000,14024
677,D,A1,A11,40000,173515
678,F,E1,B11,3000,103918
679,E,B1,C11,3000,187063
680,D,A1,F11,40000,274077
681,B,A1,E11,40000,217395
682,C,C1,D11,3000,67530
683,A,D1,F11,3000,57174
684,D,E1,F11,40000,88175
685,F,C1,E11,40000,43381
686,F,E1,D11,40000,266171
687,F,A1,D11,3000,170231
688,F,B1,F11,40000,226351
689,E,A1,A11,40000,93952
690,F,B1,E11,40000,280802
691,C,A1,F11,40000,175958
692,C,B1,F11,3000,192810
693,A,C1,C11,3000,151542
694,F,B1,D11,3000,72958
695,C,B1,C11,40000,282227
696,E,F1,A11,3000,216985
697,F,F1,D11,40000,46974
698,C,A1,A11,40000,25166
699,C,E1,C11,40000,68278
700,C,A1,D11,3000,263922
701,A,F1,A11,3000,200373
702,F,A1,F11,3000,115608
703,C,F1,F11,3000,168650
704,C,D1,D11,40000,22305
705,D,E1,C11,40000,81842
706,C,A1,E11,3000,109186
707,B,F1,C11,40000,192353
708,F,F1,F11,3000,221645
709,E,A1,C11,3000,156979
710,C,C1,B11,3000,172415
711,B,E1,E11,3000,245227
712,F,F1,A11,3000,25949
713,E,A1,C11,40000,92896
714,A,E1,B11,40000,245830
715,F,F1,D11,40000,58442
716,D,C1,B11,40000,111546
717,B,E1,D11,3000,139264
718,E,E1,E11,3000,280617
719,F,B1,A11,3000,173371
720,C,B1,A11,3000,177625
721,D,A1,A11,3000,111008
722,F,A1,F11,3000,30963
723,E,B1,A11,3000,28855
724,A,B1,D11,40000,192222
725,B,A1,F11,40000,15312
726,E,B1,D11,3000,1111
727,C,A1,F11,3000,292722
728,F,E1,F11,40000,150307
729,E,C1,A11,3000,45370
730,C,F1,E11,40000,251858
731,E,C1,A11,3000,135819
732,E,A1,D11,40000,151688
733,A,A1,D11,40000,235382
734,C,A1,A11,40000,214206
735,C,F1,D11,3000,22979
736,E,F1,A11,3000,267366
737,F,C1,D11,40000,259358
738,D,A1,F11,3000,25739
739,B,B1,C11,40000,43955
740,A,C1,A11,40000,229340
741,C,F1,A11,40000,299344
742,D,D1,E11,40000,116840
743,D,D1,E11,40000,146764
744,B,B1,B11,40000,90434
745,F,B1,A11,40000,250147
746,B,B1,F11,3000,7326
747,C,D1,E11,40000,241340
748,A,F1,B11,40000,176946
749,A,F1,F11,3000,179472
750,C,D1,A11,3000,289757
751,E,F1,A11,3000,212691
752,A,F1,C11,3000,100762
753,E,F1,E11,3000,50304
754,F,C1,D11,40000,299768
755,B,F1,F11,40000,206223
756,A,C1,C11,40000,159534
757,B,E1,E11,3000,235260
758,B,B1,E11,3000,288633
759,F,B1,D11,40000,229623
760,A,D1,E11,3000,274062
761,D,D1,E11,40000,225834
762,C,D1,F11,40000,35596
763,E,F1,C11,40000,133776
764,A,D1,A11,40000,50386
765,F,D1,F11,40000,235445
766,D,D1,D11,40000,100574
767,D,A1,F11,40000,27852
768,C,B1,E11,3000,53529
769,E,E1,A11,3000,126980
770,E,D1,A11,40000,238389
771,A,D1,B11,3000,186308
772,C,B1,A11,40000,296133
773,B,C1,C11,40000,118982
774,A,B1,D11,40000,40210
775,F,D1,A11,3000,36031
776,A,F1,D11,40000,74401
777,E,D1,D11,3000,198632
778,E,C1,D11,40000,71226
779,E,B1,D11,3000,14830
780,D,C1,E11,40000,29541
781,F,F1,E11,40000,289365
782,B,D1,D11,3000,263405
783,D,C1,E11,40000,75711
784,F,A1,C11,40000,137819
785,B,A1,F11,40000,215806
786,B,B1,B11,40000,57900
787,E,F1,D11,40000,170296
788,D,C1,B11,3000,274097
789,D,D1,F11,40000,26023
790,E,B1,D11,3000,5486
791,F,E1,E11,40000,54132
792,C,C1,D11,40000,196744
793,B,E1,A11,40000,209417
794,B,F1,D11,40000,63365
795,D,C1,E11,40000,286466
796,A,D1,F11,40000,16795
797,C,E1,D11,3000,54343
798,C,A1,C11,3000,143921
799,F,B1,A11,3000,123485
800,A,D1,D11,3000,217496
801,F,F1,E11,3000,189766
802,B,C1,B11,3000,57254
803,D,A1,D11,40000,6445
804,E,B1,A11,40000,53663
805,A,A1,E11,3000,16320
806,A,B1,D11,3000,205355
807,F,E1,D11,3000,25428
808,F,D1,C11,3000,223387
809,A,B1,E11,40000,201752
810,D,B1,E11,3000,20972
811,F,B1,B11,40000,114432
812,C,B1,C11,3000,253061
813,E,C1,E11,3000,263265
814,B,E1,A11,40000,229608
815,B,F1,C11,40000,173525
816,D,E1,D11,3000,116443
817,F,D1,C11,3000,155099
818,C,A1,B11,3000,185162
819,B,A1,A11,40000,229798
820,B,B1,F11,3000,225747
821,B,B1,A11,3000,81811
822,C,F1,F11,40000,86060
823,F,F1,D11,40000,104094
824,D,E1,C11,40000,214567
825,C,D1,C11,3000,142799
826,B,C1,E11,3000,33873
827,F,E1,F11,40000,103144
828,F,B1,D11,40000,273431
829,E,C1,C11,3000,256730
830,F,A1,D11,3000,292454
831,B,D1,D11,3000,73736
832,A,D1,C11,3000,271623
833,C,B1,A11,3000,51177
834,E,C1,D11,40000,241843
835,F,D1,E11,3000,151125
836,C,A1,F11,3000,94904
837,F,A1,C11,40000,240262
838,B,E1,A11,3000,27698
839,A,F1,F11,3000,16206
840,E,E1,D11,40000,233566
841,C,B1,A11,3000,197115
842,A,E1,C11,3000,265970
843,E,D1,A11,40000,18696
844,A,A1,A11,40000,67962
845,A,A1,C11,3000,271625
846,A,E1,F11,3000,269437
847,A,D1,E11,40000,291329
848,B,E1,F11,40000,3169
849,A,C1,D11,3000,288375
850,B,C1,B11,3000,267527
851,A,B1,F11,40000,226598
852,A,A1,E11,40000,31315
853,E,F1,A11,40000,217653
854,D,B1,A11,40000,13523
855,D,E1,B11,3000,66603
856,D,B1,B11,3000,37274
857,D,D1,A11,3000,2747
858,F,E1,E11,40000,233363
859,B,B1,E11,40000,28863
860,D,F1,A11,40000,104472
861,E,C1,D11,3000,134609
862,F,C1,D11,3000,261060
863,D,E1,B11,3000,92686
864,C,F1,E11,3000,143161
865,C,F1,E11,3000,209535
866,C,E1,D11,3000,14776
867,F,D1,B11,40000,204270
868,A,B1,B11,3000,5230
869,F,E1,D11,40000,99083
870,D,F1,A11,40000,43811
871,E,A1,F11,3000,218213
