Id,Car Make,Production Year,Car Mileage,Cost
218,Chevrolet,2015,104979,3000
219,Hyundai,2020,93369,3000
220,Jaguar,2022,229036,40000
221,Porsche,1986,234144,40000
222,Toyota,1992,169078,3000
223,Volkswagen,1996,177165,3000
224,Hyundai,1997,123415,40000
225,Tesla,1976,259751,40000
226,Ferrari,1982,162013,3000
227,Mazda,2011,27247,40000
228,Audi,1992,200768,40000
229,Jaguar,2023,41737,3000
230,Jaguar,2020,115712,40000
231,Nissan,1993,11820,40000
232,Land Rover,2000,230856,3000
233,Nissan,2011,93754,3000
234,Land Rover,1975,68943,40000
235,Porsche,1989,88890,40000
236,BMW,2007,225861,3000
237,Nissan,2017,244436,40000
238,Nissan,2004,7133,3000
239,Ford,1973,99636,3000
240,Kia,1985,8777,40000
241,Kia,2008,34538,3000
242,BMW,2010,3756,40000
243,Lamborghini,2018,189268,3000
244,BMW,1995,222511,40000
245,Nissan,2011,163693,3000
246,Honda,1994,275822,3000
247,Ferrari,1980,243926,3000
248,Volkswagen,2006,17511,40000
249,Nissan,1994,79346,3000
250,Tesla,1978,171525,3000
251,Ford,1977,90494,3000
252,Nissan,1972,93525,3000
253,Chevrolet,1973,77104,3000
254,Ford,1995,189923,40000
255,Subaru,1994,247573,3000
256,Mazda,2021,242867,40000
257,Mercedes,1983,274963,3000
258,Ferrari,1974,150800,3000
259,Nissan,1989,165447,3000
260,Mazda,2005,33216,3000
261,Kia,2008,263239,40000
262,Mercedes,1992,34898,40000
263,Volkswagen,1998,29486,40000
264,Kia,2000,200894,40000
265,Honda,1988,122313,40000
266,Honda,1996,113013,40000
267,Mercedes,1998,172328,40000
268,Land Rover,1994,73963,40000
269,Chevrolet,2001,160298,40000
270,Audi,1998,85275,40000
271,BMW,2020,160484,40000
272,Ferrari,2002,272218,3000
273,Porsche,2006,54771,40000
274,Mercedes,2009,109947,3000
275,Volvo,1976,170396,3000
276,Volvo,1988,145703,3000
277,Audi,2007,178216,40000
278,Land Rover,2017,80567,40000
279,Porsche,1987,139342,3000
280,Volvo,1972,63108,40000
281,Toyota,1978,245407,3000
282,Ford,1991,77193,40000
283,Honda,2017,235633,3000
284,Volkswagen,2008,27361,3000
285,Tesla,1981,198299,40000
286,Lamborghini,1980,170283,3000
287,Volvo,2015,242318,40000
288,Nissan,1970,265631,3000
289,Volvo,1994,89464,3000
290,Subaru,2022,299029,40000
291,Volkswagen,1995,15428,3000
292,Nissan,2010,66585,40000
293,Ford,1977,97047,40000
294,Honda,2000,249479,40000
295,Ferrari,1976,143058,40000
296,Porsche,1991,10507,40000
297,BMW,1984,154923,40000
298,Lamborghini,2003,78695,40000
299,Ferrari,2021,220824,3000
300,Volvo,1986,219377,40000
301,Volkswagen,2023,257657,3000
302,Suzuki,2009,253889,40000
303,Audi,2009,95038,3000
304,Ferrari,2012,38253,40000
305,Honda,1994,73166,40000
306,Toyota,2001,106913,3000
307,Tesla,1978,247189,40000
308,Audi,2015,130713,3000
309,Audi,1991,188713,40000
310,Toyota,1993,183176,3000
311,Lamborghini,1987,180916,3000
312,Nissan,2004,167971,40000
313,Nissan,2016,231589,40000
314,Kia,1980,240932,3000
315,Chevrolet,1970,241,3000
316,BMW,1994,19304,3000
317,Chevrolet,2021,143400,40000
318,Kia,2003,49365,3000
319,Ferrari,2018,15401,3000
320,BMW,1989,281035,3000
321,Mazda,2021,98092,40000
322,Tesla,1983,200945,40000
323,Porsche,1977,283974,40000
324,BMW,1987,142599,3000
325,Jaguar,1992,164017,40000
326,Jaguar,1999,75078,40000
327,Ferrari,2000,248212,3000
328,Nissan,2016,43789,40000
329,Lamborghini,1973,187640,40000
330,Chevrolet,1977,98042,3000
331,Land Rover,2014,168598,40000
332,Lamborghini,2009,57466,3000
333,Mazda,1976,94258,3000
334,Mercedes,1990,239470,40000
335,Ford,1998,110769,40000
336,Jaguar,2001,72175,40000
337,Volkswagen,1992,45682,40000
338,Land Rover,1999,260312,40000
339,Land Rover,1977,98507,3000
340,Land Rover,1994,197133,3000
341,Chevrolet,1980,277341,40000
342,Porsche,2001,177182,40000
343,Suzuki,2006,80672,40000
344,Volvo,2014,44241,3000
345,Mazda,1976,220516,40000
346,Jaguar,1985,25988,40000
347,Ferrari,1997,94293,3000
348,Mercedes,1983,259546,40000
349,Volkswagen,1984,252709,40000
350,Nissan,1986,168292,3000
351,Suzuki,2003,204278,3000
352,Subaru,1994,242073,3000
353,Tesla,2006,128863,3000
354,Volkswagen,1995,138990,40000
355,Chevrolet,2011,163113,3000
356,Mazda,1982,106273,3000
357,Audi,2002,181620,3000
358,Jaguar,1996,5051,40000
359,Suzuki,2020,226686,3000
360,Ferrari,2009,261087,3000
361,Porsche,2013,60631,3000
362,Porsche,2008,179621,3000
363,Hyundai,2017,113605,3000
364,Ferrari,2011,120432,3000
365,Chevrolet,2022,222273,40000
366,Nissan,1996,246646,40000
367,Subaru,2020,129923,3000
368,Volvo,2009,99346,40000
369,Chevrolet,1991,283788,3000
370,Volkswagen,1984,229805,3000
371,BMW,1985,116040,40000
372,Kia,2000,197104,3000
373,Nissan,1988,7438,3000
374,Honda,2006,44330,3000
375,Mercedes,2020,123827,3000
376,Chevrolet,2008,108706,40000
377,Subaru,1992,230661,3000
378,Tesla,2001,95801,40000
379,Mazda,1988,209558,40000
380,Land Rover,2010,6899,40000
381,Nissan,1982,280927,3000
382,Mazda,1996,18659,40000
383,Tesla,2023,34099,3000
384,Kia,2012,115182,3000
385,Chevrolet,2019,146485,40000
386,Ferrari,1978,42088,40000
387,Toyota,1979,16570,3000
388,Mazda,1973,72884,40000
389,Volvo,1979,186279,40000
390,Ferrari,2019,96015,3000
391,Kia,1998,217399,40000
392,Mazda,2002,115156,40000
393,Porsche,1994,100633,3000
394,Tesla,1973,153892,40000
395,Toyota,2015,28427,40000
396,Mazda,2016,270406,3000
397,Volvo,2013,199425,3000
398,Mercedes,2020,157822,40000
399,Nissan,1985,26707,3000
400,Porsche,2017,247342,3000
401,Hyundai,2010,192556,3000
402,Volkswagen,1993,140486,40000
403,Audi,1984,170361,40000
404,Nissan,1994,213193,3000
405,Mercedes,1993,190188,3000
406,Ferrari,1989,209507,40000
407,Mercedes,2008,239348,40000
408,BMW,2017,154416,3000
409,Hyundai,2021,123716,40000
410,BMW,2010,94951,3000
411,Mercedes,1997,235951,40000
412,Ford,1981,142458,3000
413,Mazda,1970,282256,40000
414,Chevrolet,1992,35188,40000
415,Audi,2017,29668,40000
416,Hyundai,1988,90550,3000
417,Porsche,2012,4183,3000
418,Land Rover,1985,21279,3000
419,Toyota,2004,223759,3000
420,BMW,1974,177492,40000
421,Porsche,2011,203866,3000
422,Honda,2023,69276,3000
423,Ferrari,1981,157452,40000
424,Mercedes,2019,84638,40000
425,Kia,1971,260845,3000
426,Kia,2015,112851,3000
427,Honda,1975,257529,40000
428,Nissan,1977,104125,40000
429,Kia,2015,57797,3000
430,Honda,2008,79169,3000
431,Jaguar,1992,136097,3000
432,Porsche,2003,36034,3000
433,Honda,1982,201079,40000
434,Mercedes,2009,161549,40000
435,Honda,1998,54407,3000
436,Land Rover,2019,158551,40000
437,BMW,2012,159349,40000
438,Mazda,2023,287350,3000
439,Chevrolet,1980,146879,40000
440,Ferrari,2023,1773,3000
441,Audi,2016,256649,3000
442,Jaguar,2008,190721,3000
443,Lamborghini,2001,151497,40000
444,Hyundai,1979,66115,3000
445,Toyota,1988,286110,3000
446,Porsche,2003,236128,40000
447,Lamborghini,1995,134214,40000
448,Mercedes,2015,143835,40000
449,Tesla,2022,298378,3000
450,Lamborghini,1991,193077,40000
451,Land Rover,1971,102329,3000
452,Land Rover,1985,246462,40000
453,Nissan,2003,289098,40000
454,Mercedes,1971,10590,40000
455,Ferrari,1996,27228,40000
456,Kia,1979,17124,3000
457,Suzuki,1982,182889,3000
458,Volvo,1997,162025,40000
459,Chevrolet,1971,120618,40000
460,BMW,1999,176132,40000
461,Nissan,1994,113776,40000
462,Mazda,2005,204600,40000
463,Ford,2001,144665,3000
464,Volvo,1979,92588,40000
465,Volkswagen,1971,192653,40000
466,Jaguar,2021,281026,40000
467,Kia,1975,277198,40000
468,Subaru,1985,281291,3000
469,Hyundai,2022,234348,40000
470,Nissan,1986,84162,3000
471,Suzuki,1996,281220,40000
472,Subaru,2007,167658,40000
473,Porsche,1979,299423,40000
474,Kia,1994,190506,40000
475,Ford,2020,167184,3000
476,Jaguar,2004,223880,40000
477,Audi,1984,1813,3000
478,Mazda,2023,97438,3000
479,Nissan,2001,160522,3000
480,Ferrari,1999,94459,40000
481,Subaru,2009,274849,3000
482,Nissan,2002,160652,40000
483,Volvo,2020,156899,40000
484,Ford,1978,51792,40000
485,Ford,1989,2384,3000
486,Honda,2022,32737,40000
487,Mercedes,1972,197050,3000
488,Ferrari,2017,290753,40000
489,Audi,2000,140686,3000
490,Ford,2013,94166,40000
491,Porsche,1984,213070,3000
492,Toyota,1978,151454,3000
493,Nissan,2016,28387,3000
494,Lamborghini,2002,190553,40000
495,Lamborghini,2019,272394,40000
496,Jaguar,1980,287921,40000
497,Toyota,1972,9284,40000
498,Land Rover,1985,47276,3000
499,Ford,2010,181954,40000
500,Land Rover,1987,9897,40000
501,Volkswagen,2010,65933,3000
502,Chevrolet,1994,176936,40000
503,Chevrolet,2023,17863,40000
504,Suzuki,1986,228951,40000
505,Jaguar,2015,95413,40000
506,Kia,2001,77519,3000
507,Ferrari,1973,53565,40000
508,BMW,2001,256219,3000
509,Toyota,1996,187698,40000
510,Audi,1991,3031,3000
511,Ferrari,2005,256031,40000
512,Volkswagen,2020,208288,40000
513,Ford,1999,159777,3000
514,Suzuki,1992,266883,40000
515,Volvo,2019,219856,40000
516,Mazda,2013,203156,3000
517,Audi,1975,245248,40000
518,Honda,1995,73738,3000
519,Chevrolet,2017,175704,3000
520,Mercedes,1981,27610,40000
521,Porsche,1997,162258,3000
522,Audi,1997,181164,40000
523,Subaru,1997,240275,40000
524,Suzuki,1997,204411,3000
525,Ferrari,1981,4713,3000
526,Hyundai,1995,271467,40000
527,Subaru,1971,204539,3000
528,Subaru,1973,29557,40000
529,Chevrolet,1995,295029,3000
530,Suzuki,1986,80022,3000
531,Ford,2006,83850,3000
532,BMW,1990,75171,40000
533,Subaru,1991,145773,3000
534,Suzuki,1984,215263,40000
535,Ferrari,2003,204824,40000
536,BMW,2016,69904,3000
537,Jaguar,2006,239245,3000
538,Volvo,1994,84688,3000
539,Honda,1994,171778,40000
540,Porsche,1976,154998,40000
541,Audi,1978,298656,3000
542,Chevrolet,1986,155553,40000
543,Volkswagen,2005,290014,40000
544,Mazda,2002,126576,40000
545,Chevrolet,1991,202173,40000
546,BMW,1979,246812,3000
547,Mercedes,1991,151860,3000
548,Subaru,1976,114786,40000
549,Volkswagen,1991,19996,40000
550,Audi,1984,8607,40000
551,Volvo,1978,145540,40000
552,Tesla,2003,171776,3000
553,Lamborghini,1986,268548,3000
554,Mazda,2013,216600,40000
555,Mercedes,2008,122631,3000
556,Kia,1991,111456,3000
557,Kia,2012,150178,40000
558,Chevrolet,2019,263655,3000
559,Mercedes,1996,93596,3000
560,Subaru,1981,154892,3000
561,Nissan,1979,80721,3000
562,BMW,1983,262565,3000
563,Suzuki,2002,28133,3000
564,Subaru,1971,232214,3000
565,Suzuki,2017,155158,3000
566,Chevrolet,2016,66554,40000
567,Nissan,2010,76961,3000
568,Toyota,2020,278448,40000
569,Volkswagen,2017,110432,40000
570,Tesla,2008,72106,40000
571,Audi,1985,236874,40000
572,Volvo,1972,220743,3000
573,Tesla,2014,12616,3000
574,Chevrolet,1997,132886,40000
575,Tesla,2006,226551,3000
576,Mazda,2012,285192,3000
577,Volkswagen,2018,157100,3000
578,Honda,1995,217307,3000
579,Jaguar,2003,61968,3000
580,Ferrari,1971,292597,3000
581,Kia,2013,94413,3000
582,Suzuki,1975,189967,40000
583,Ferrari,2009,289579,3000
584,Toyota,2016,173008,3000
585,Mercedes,1981,6767,40000
586,Mazda,2000,101508,40000
587,Volvo,2023,271404,3000
588,Chevrolet,1991,17428,40000
589,Toyota,2001,210203,40000
590,Lamborghini,2001,180916,40000
591,Audi,1980,244296,3000
592,Mazda,1990,257512,40000
593,Hyundai,1988,160576,40000
594,Subaru,1995,281036,40000
595,Suzuki,1997,58587,3000
596,Tesla,1999,174880,3000
597,Volvo,1999,139738,3000
598,Mazda,1990,117219,40000
599,Land Rover,1993,206263,40000
600,Volvo,2014,98680,3000
601,Toyota,2015,152060,40000
602,Subaru,2004,167337,3000
603,Volvo,1997,136641,40000
604,Ferrari,1970,132655,40000
605,Nissan,2023,52801,3000
606,Audi,2009,209841,40000
607,Nissan,2015,293125,3000
608,Ferrari,1970,63768,40000
609,Chevrolet,1991,109517,40000
610,Audi,1993,28899,3000
611,Ferrari,2001,147023,3000
612,Mercedes,1985,298311,40000
613,Honda,1982,187369,40000
614,Land Rover,1972,251878,3000
615,Ford,2012,206395,40000
616,Nissan,2013,89645,40000
617,Toyota,2019,269275,40000
618,Audi,1976,219422,3000
619,Ford,2017,156685,40000
620,Mercedes,2018,108593,3000
621,Toyota,1984,245473,3000
622,Chevrolet,1997,137924,3000
623,BMW,2000,231653,40000
624,BMW,2009,54840,40000
625,Jaguar,2018,87495,40000
626,Mazda,2015,130829,40000
627,Chevrolet,1973,10946,40000
628,Subaru,2014,180711,3000
629,Chevrolet,1973,90118,40000
630,Honda,1976,129221,3000
631,Hyundai,2023,152624,3000
632,Volkswagen,1985,282723,3000
633,Suzuki,1988,140205,40000
634,Hyundai,2011,162988,40000
635,Audi,1981,290111,40000
636,Mercedes,2006,269819,40000
637,Audi,2012,110884,3000
638,Mazda,1970,184768,3000
639,Jaguar,2016,265640,40000
640,Honda,1994,37467,40000
641,Mazda,2005,204862,3000
642,Toyota,1996,63971,3000
643,Porsche,2000,26802,40000
644,Ferrari,2011,12922,3000
645,Hyundai,2006,254122,40000
646,Mercedes,2007,90857,40000
647,Subaru,1992,60395,40000
648,Subaru,2001,940,3000
649,Subaru,1997,138565,3000
650,Porsche,2007,251345,3000
651,Porsche,2014,224532,3000
652,Lamborghini,2018,166232,40000
653,Honda,1986,99264,3000
654,Volvo,2022,123343,3000
655,Volvo,2014,103254,40000
656,Jaguar,1994,106590,3000
657,Subaru,1996,95638,3000
658,Volvo,1983,94289,40000
659,Suzuki,1974,91225,40000
660,BMW,2018,61610,3000
661,Lamborghini,2002,197246,40000
662,Audi,2018,82718,3000
663,Honda,2019,240324,3000
664,Ferrari,1997,113160,3000
665,Land Rover,1972,50877,3000
666,Land Rover,1972,56887,3000
667,Nissan,1997,194370,3000
668,Chevrolet,1973,203436,40000
669,Hyundai,2022,235998,40000
670,Nissan,2011,251012,40000
671,Mazda,1998,39481,3000
672,Kia,1995,92958,40000
673,Land Rover,2018,63744,3000
674,Mercedes,1971,28357,40000
675,Porsche,1985,138176,40000
676,Porsche,1984,178650,3000
677,Audi,2012,275825,3000
678,Tesla,2003,167233,3000
679,Volkswagen,1988,299341,40000
680,Jaguar,1987,122809,3000
681,Mercedes,1990,54784,40000
682,Subaru,2001,223768,3000
683,Audi,2006,124633,40000
684,BMW,1989,117183,3000
685,Volkswagen,1986,45115,40000
686,Nissan,1998,295258,3000
687,Audi,2015,90276,40000
688,Volkswagen,1994,299200,40000
689,Audi,1977,193338,40000
690,Nissan,2016,219,3000
691,Kia,1974,50650,3000
692,Porsche,1974,104516,3000
693,Porsche,2002,276737,3000
694,Land Rover,1997,49451,40000
695,Audi,1983,290567,3000
696,Ford,2019,173940,3000
697,Mazda,2012,127449,3000
698,BMW,2017,209325,40000
699,Volvo,2015,133492,3000
700,Kia,2011,45180,40000
701,Kia,1977,156340,40000
702,Subaru,2009,287585,3000
703,Tesla,1999,133871,40000
704,Mercedes,1993,176701,40000
705,Honda,2001,44096,3000
706,Ferrari,2008,112521,3000
707,Jaguar,1971,271269,40000
708,BMW,1996,158344,3000
709,Mercedes,1983,262867,40000
710,Ford,1973,101561,40000
711,Mercedes,1996,202664,40000
712,Lamborghini,1993,163493,3000
713,Volvo,2010,137173,3000
714,Kia,2019,290855,3000
715,Mazda,2014,43654,3000
716,Land Rover,2022,120919,40000
717,Subaru,1998,133903,40000
718,Porsche,2020,168291,40000
719,Tesla,2019,106955,40000
720,Mercedes,1979,284046,40000
721,Mazda,1998,85523,3000
722,Porsche,2006,10996,3000
723,Honda,2016,214698,3000
724,Jaguar,1989,217489,3000
725,Volvo,1993,140907,40000
726,Chevrolet,2019,145373,40000
727,Jaguar,1973,162463,3000
728,Land Rover,1985,252911,3000
729,Porsche,1970,4879,3000
730,Volkswagen,2007,233774,40000
731,BMW,1985,66114,40000
732,Mercedes,2001,139381,3000
733,Suzuki,1983,19010,40000
734,Tesla,2016,252287,40000
735,Chevrolet,1976,291540,40000
736,Volvo,1988,163320,40000
737,Tesla,1972,20472,40000
738,Mercedes,2014,94603,40000
739,Tesla,1983,200734,40000
740,Honda,2003,252587,40000
741,Audi,1987,243222,3000
742,Honda,1997,96832,40000
743,Toyota,1990,140307,3000
744,Hyundai,2012,228938,40000
745,Toyota,2022,13458,3000
746,Volkswagen,1985,153023,40000
747,Volkswagen,1973,49600,40000
748,Kia,1980,70945,40000
749,Tesla,2014,9053,40000
750,Suzuki,2006,296186,40000
751,Nissan,2012,217390,40000
752,Kia,2004,154038,3000
753,Lamborghini,1991,206661,40000
754,Ford,2011,206548,3000
755,Chevrolet,1991,147832,40000
756,Subaru,2014,76648,40000
757,Mercedes,1986,197213,3000
758,Kia,2001,228283,3000
759,Subaru,1975,236941,3000
760,Audi,2001,13248,40000
761,Hyundai,2020,55633,3000
762,Mercedes,2015,50609,40000
763,Honda,2012,93723,3000
764,Honda,1986,1348,3000
765,Porsche,2004,32481,40000
766,Honda,1987,18032,40000
767,Audi,2019,83236,40000
768,Porsche,1985,159767,40000
769,Nissan,2011,65213,40000
770,Lamborghini,2011,267927,40000
771,BMW,2014,30536,40000
772,Mazda,1995,291832,40000
773,Subaru,1978,193505,40000
774,Nissan,2001,37545,40000
775,Mazda,1985,114393,40000
776,Honda,1996,77283,40000
777,Hyundai,2001,7966,40000
778,Mercedes,1986,242081,40000
779,Volvo,1975,153265,3000
780,Tesla,2004,171932,40000
781,Jaguar,2002,109771,3000
782,Honda,2003,34773,3000
783,BMW,2000,12733,3000
784,Mercedes,2016,160049,40000
785,Mercedes,1999,121112,40000
786,Volvo,1980,191720,40000
787,Jaguar,2017,82518,3000
788,Honda,2015,263341,3000
789,Ferrari,2012,131358,3000
790,Suzuki,2005,175308,3000
791,Ford,2010,193653,3000
792,Ferrari,2001,78399,3000
793,Honda,2009,185775,40000
794,Subaru,1986,53162,3000
795,Mazda,1978,24352,40000
796,Toyota,1975,33984,40000
797,Subaru,2013,34930,40000
798,Suzuki,1991,47069,40000
799,Ford,1991,203522,40000
800,Tesla,1978,111987,3000
801,Volkswagen,1975,215278,40000
802,Volkswagen,1990,215308,40000
803,Lamborghini,2009,135640,3000
804,Ferrari,1971,253275,3000
805,Mazda,2007,44375,40000
806,Porsche,1999,103756,3000
807,Tesla,1976,214684,3000
808,Nissan,1989,272613,40000
809,Honda,1987,158834,3000
810,Volvo,1976,14790,40000
811,BMW,2013,114992,3000
812,Land Rover,1995,240677,3000
813,Porsche,1972,160745,40000
814,Hyundai,1974,136597,3000
815,Ferrari,2013,41124,3000
816,Lamborghini,1981,135200,3000
817,Toyota,1994,49938,3000
818,Land Rover,2022,51392,40000
819,Volkswagen,1977,139842,40000
820,Jaguar,1996,30516,3000
821,Mazda,1992,183868,40000
822,Porsche,1992,43686,40000
823,Land Rover,1988,239810,40000
824,Ferrari,2010,69907,40000
825,Porsche,2011,140939,40000
826,Subaru,1973,99637,40000
827,Suzuki,2001,121869,40000
828,Honda,1971,280302,3000
829,Nissan,2001,5265,40000
830,Audi,1977,219844,3000
831,Kia,2018,39959,3000
832,Mercedes,2006,251066,3000
833,Ferrari,1975,227437,3000
834,Chevrolet,1992,49796,40000
835,Volvo,1979,36585,3000
836,Volvo,1984,92725,3000
837,Nissan,1972,126548,3000
838,Jaguar,2017,201676,3000
839,Ford,1993,113091,40000
840,Volvo,2020,126962,3000
841,Tesla,2018,181345,40000
842,Jaguar,1979,111630,3000
843,Honda,1994,29779,3000
844,Chevrolet,1982,132131,40000
845,Volkswagen,2000,290133,3000
846,Chevrolet,1993,43172,40000
847,Audi,1977,153449,40000
848,Subaru,1992,112291,3000
849,Ferrari,2021,27877,40000
850,Ferrari,1976,42046,40000
851,Kia,1974,107814,40000
852,Hyundai,2021,104274,3000
853,Tesla,2011,76286,40000
854,Mazda,1997,152840,40000
855,BMW,1974,20421,40000
